partition,n_blocks,success,signature,violates_3over4,perfect,refines_f_output_quotient
"[0, 0, 0, 0, 0, 0, 0, 0]",1,0.25,"000,+01,01+,01-,1+0,-01,1-0,111",False,False,False
"[0, 0, 0, 0, 0, 0, 0, 1]",2,0.37499999999999994,"000,+01,01+,01-,1+0,-01,1-0|111",False,False,False
"[0, 0, 0, 0, 0, 0, 1, 0]",2,0.375,"000,+01,01+,01-,1+0,-01,111|1-0",False,False,False
"[0, 0, 0, 0, 0, 0, 1, 1]",2,0.37499999999999994,"000,+01,01+,01-,1+0,-01|1-0,111",False,False,False
"[0, 0, 0, 0, 0, 0, 1, 2]",3,0.4999999999999999,"000,+01,01+,01-,1+0,-01|1-0|111",False,False,False
"[0, 0, 0, 0, 0, 1, 0, 0]",2,0.375,"000,+01,01+,01-,1+0,1-0,111|-01",False,False,False
"[0, 0, 0, 0, 0, 1, 0, 1]",2,0.37499999999999994,"000,+01,01+,01-,1+0,1-0|-01,111",False,False,False
"[0, 0, 0, 0, 0, 1, 0, 2]",3,0.4999999999999999,"000,+01,01+,01-,1+0,1-0|-01|111",False,False,False
"[0, 0, 0, 0, 0, 1, 1, 0]",2,0.375,"000,+01,01+,01-,1+0,111|-01,1-0",False,False,False
"[0, 0, 0, 0, 0, 1, 1, 1]",2,0.37499999999999994,"000,+01,01+,01-,1+0|-01,1-0,111",False,False,False
"[0, 0, 0, 0, 0, 1, 1, 2]",3,0.4999999999999999,"000,+01,01+,01-,1+0|-01,1-0|111",False,False,False
"[0, 0, 0, 0, 0, 1, 2, 0]",3,0.5,"000,+01,01+,01-,1+0,111|-01|1-0",False,False,False
"[0, 0, 0, 0, 0, 1, 2, 1]",3,0.4999999999999999,"000,+01,01+,01-,1+0|-01,111|1-0",False,False,False
"[0, 0, 0, 0, 0, 1, 2, 2]",3,0.4999999999999999,"000,+01,01+,01-,1+0|-01|1-0,111",False,False,False
"[0, 0, 0, 0, 0, 1, 2, 3]",4,0.6249999999999999,"000,+01,01+,01-,1+0|-01|1-0|111",False,False,False
"[0, 0, 0, 0, 1, 0, 0, 0]",2,0.375,"000,+01,01+,01-,-01,1-0,111|1+0",False,False,False
"[0, 0, 0, 0, 1, 0, 0, 1]",2,0.37499999999999994,"000,+01,01+,01-,-01,1-0|1+0,111",False,False,False
"[0, 0, 0, 0, 1, 0, 0, 2]",3,0.4999999999999999,"000,+01,01+,01-,-01,1-0|1+0|111",False,False,False
"[0, 0, 0, 0, 1, 0, 1, 0]",2,0.49999999999999994,"000,+01,01+,01-,-01,111|1+0,1-0",False,False,False
"[0, 0, 0, 0, 1, 0, 1, 1]",2,0.4999999999999999,"000,+01,01+,01-,-01|1+0,1-0,111",False,False,False
